NAME STAND
FRAMES 8
0 300 -2 22
0 6 -2 22
0 300 -2 22
0 6 -2 22
0 300 -2 22
0 6 -2 22
0 6 -2 22
0 6 -2 22
NAME WALK
FRAMES 20
0 7 -2 22
0 7 0 20
0 7 3 21
0 7 0 20
0 7 -2 22
0 7 0 20
0 7 3 21
0 7 0 20
0 7 -2 22
0 7 0 20
0 7 3 21
0 7 0 20
0 7 -2 22
0 7 0 20
0 7 3 21
0 7 0 20
0 7 -2 22
0 7 0 20
0 7 3 21
0 7 0 20
NAME ATTACK_1
FRAMES 4
0 2 -2 22
0 4 -2 22
0 2 -2 22
0 2 -2 22
NAME BLOCK
FRAMES 1
1 30000 26 15
NAME DIE
FRAMES 8
0 7 3 27
0 7 3 27
0 7 3 27
0 7 3 27
0 7 3 27
0 7 3 27
0 7 3 27
0 7 3 27
NAME CUSTOM_1
FRAMES 1
0 300 -2 22
NAME SHIELD_ATTACK
FRAMES 6
2 2 -2 22
3 2 -2 22
4 2 -2 22
5 2 -2 22
6 2 -2 22
7 2 -2 22
NAME SHIELD_ATTACK_SHADOW
FRAMES 6
8 2 -2 22
9 2 -2 22
10 2 -2 22
11 2 -2 22
12 2 -2 22
13 2 -2 22
NAME SAD
FRAMES 8
0 300 -2 22
0 6 -2 22
0 300 -2 22
0 6 -2 22
0 300 -2 22
0 6 -2 22
0 6 -2 22
0 6 -2 22
