NAME STAND
FRAMES 6
0 4 0 0
1 4 0 0
2 4 0 0
3 4 0 0
2 4 0 0
1 4 0 0
NAME APPEAR
FRAMES 21
20 2 0 0
19 2 0 0
18 2 0 0
17 2 0 0
16 2 0 0
15 2 0 0
14 2 0 0
13 2 0 0
12 2 0 0
11 2 0 0
10 2 0 0
9 2 0 0
8 2 0 0
7 2 0 0
6 2 0 0
5 2 0 0
4 2 0 0
3 2 0 0
2 2 0 0
1 2 0 0
0 2 0 0
NAME DISAPPEAR
FRAMES 21
0 2 0 0
1 2 0 0
2 2 0 0
3 2 0 0
4 2 0 0
5 2 0 0
6 2 0 0
7 2 0 0
8 2 0 0
9 2 0 0
10 2 0 0
11 2 0 0
12 2 0 0
13 2 0 0
14 2 0 0
15 2 0 0
16 2 0 0
17 2 0 0
18 2 0 0
19 2 0 0
20 2 0 0
NAME STAND_RED
FRAMES 6
21 4 0 0
22 4 0 0
23 4 0 0
24 4 0 0
23 4 0 0
22 4 0 0
NAME DISAPPEAR_RED
FRAMES 21
21 2 0 0
22 2 0 0
23 2 0 0
24 2 0 0
25 2 0 0
26 2 0 0
27 2 0 0
28 2 0 0
29 2 0 0
30 2 0 0
31 2 0 0
32 2 0 0
33 2 0 0
34 2 0 0
35 2 0 0
36 2 0 0
37 2 0 0
38 2 0 0
39 2 0 0
40 2 0 0
41 2 0 0
