NAME 0
FRAMES 1
0 4 23 0
NAME 1
FRAMES 1
0 4 24 14
NAME 2
FRAMES 1
0 4 24 28
NAME 3
FRAMES 1
0 4 24 42
NAME 4
FRAMES 1
0 4 24 56
NAME 5
FRAMES 1
0 4 22 70
NAME 6
FRAMES 1
0 4 36 0
NAME 7
FRAMES 1
0 4 36 14
NAME 8
FRAMES 1
0 4 36 28
NAME 9
FRAMES 1
0 4 36 42
NAME 10
FRAMES 1
0 4 36 56
NAME 11
FRAMES 1
0 4 37 70
NAME 12
FRAMES 1
0 4 12 20
NAME 13
FRAMES 1
0 4 12 34
NAME 14
FRAMES 1
0 4 12 48
NAME 15
FRAMES 1
0 4 48 20
NAME 16
FRAMES 1
0 4 48 34
NAME 17
FRAMES 1
0 4 48 48
NAME STAND
FRAMES 4
0 4 0 0
1 4 0 0
2 4 0 0
1 4 0 0
NAME DIE
FRAMES 1
3 30000 0 0
