MAP_NAME MAP01
ADD_ENTITY
{
TYPE ENEMY
NAME enemy/green_fish
X 3322
Y 2548
START_X 3322
START_Y 2548
END_X 3322
END_Y 2548
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 2876
Y 2865
START_X 2876
START_Y 2865
END_X 2876
END_Y 2865
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3341
Y 2940
START_X 3341
START_Y 2940
END_X 3341
END_Y 2940
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 2927
Y 3152
START_X 2927
START_Y 3152
END_X 2927
END_Y 3152
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3066
Y 3030
START_X 3066
START_Y 3030
END_X 3066
END_Y 3030
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3265
Y 3165
START_X 3265
START_Y 3165
END_X 3265
END_Y 3165
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3245
Y 2856
START_X 3245
START_Y 2856
END_X 3245
END_Y 2856
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 2996
Y 2714
START_X 2996
START_Y 2714
END_X 2996
END_Y 2714
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3105
Y 2621
START_X 3105
START_Y 2621
END_X 3105
END_Y 2621
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3250
Y 2718
START_X 3250
START_Y 2718
END_X 3250
END_Y 2718
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 3099
Y 2887
START_X 3099
START_Y 2887
END_X 3099
END_Y 2887
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/green_fish
X 2880
Y 2644
START_X 2880
START_Y 2644
END_X 2880
END_Y 2644
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

MAP_NAME MAP10
ADD_ENTITY
{
TYPE ENEMY
NAME boss/evil_edgar
X 21275
Y 13322
START_X 21275
START_Y 13247
END_X 21275
END_Y 13247
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.50
WEIGHT 1.00
OBJECTIVE_NAME EVIL_EDGAR
REQUIRES EVIL_EDGAR_TRIGGER
ACTIVE FALSE
FACE RIGHT
}

{
TYPE AUTO_DOOR
NAME door/metal_door
X 20320
Y 13152
START_X 20320
START_Y 13152
END_X 20320
END_Y 13088
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES EVIL_EDGAR_BOSS
ACTIVE FALSE
FACE LEFT
}

MAP_NAME MAP11
ADD_ENTITY
{
TYPE ENEMY
NAME enemy/fish
X 12608
Y 12199
START_X 12608
START_Y 12199
END_X 12608
END_Y 12199
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 1
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ENEMY
NAME enemy/fish
X 8996
Y 12700
START_X 8996
START_Y 12700
END_X 8996
END_Y 12700
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ENEMY
NAME enemy/fish
X 12819
Y 12139
START_X 12819
START_Y 12139
END_X 12819
END_Y 12139
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 1
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 9443
Y 12638
START_X 9443
START_Y 12638
END_X 9443
END_Y 12638
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 7033
Y 11907
START_X 7033
START_Y 11907
END_X 7033
END_Y 11907
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE ENEMY
NAME enemy/fish
X 7367
Y 11933
START_X 7367
START_Y 11933
END_X 7367
END_Y 11933
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 4829
Y 12941
START_X 4829
START_Y 12941
END_X 4829
END_Y 12941
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 5154
Y 12862
START_X 5154
START_Y 12862
END_X 5154
END_Y 12862
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 13221
Y 12153
START_X 13221
START_Y 12153
END_X 13221
END_Y 12153
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 12367
Y 10155
START_X 12367
START_Y 10155
END_X 12367
END_Y 10155
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 3
SPAWNTIME 0
SPEED 1.50
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE RIGHT
}

{
TYPE ENEMY
NAME enemy/fish
X 12672
Y 10080
START_X 12672
START_Y 10080
END_X 12672
