NAME STAND
FRAMES 8
0 300 0 0
2 6 0 0
0 300 0 0
2 6 0 0
0 300 0 0
2 6 0 0
0 6 0 0
2 6 0 0
NAME WALK
FRAMES 20
3 7 0 0
4 7 0 0
5 7 0 0
6 7 0 0
3 7 0 0
4 7 0 0
5 7 0 0
6 7 0 0
3 7 0 0
4 7 0 0
5 7 0 0
6 7 0 0
3 7 0 0
4 7 0 0
5 7 0 0
6 7 0 0
3 7 0 0
4 7 0 0
7 7 0 0
6 7 0 0
NAME ATTACK_1
FRAMES 4
8 2 0 0
9 4 0 0
9 2 0 0
9 2 0 0
NAME ATTACK_2
FRAMES 1
19 120 0 15
NAME BLOCK
FRAMES 1
10 300 0 0
NAME DIE
FRAMES 8
11 7 0 0
12 7 0 0
13 7 0 0
14 7 0 0
15 7 0 0
16 7 0 0
17 7 0 0
18 7 0 0
NAME CUSTOM_1
FRAMES 2
20 4 0 0
21 4 0 0
NAME SAD
FRAMES 8
22 300 0 0
24 6 0 0
22 300 0 0
24 6 0 0
22 300 0 0
24 6 0 0
22 6 0 0
24 6 0 0
NAME SIT
FRAMES 8
25 300 0 0
26 6 0 0
25 300 0 0
26 6 0 0
25 300 0 0
26 6 0 0
25 6 0 0
26 6 0 0
NAME STAND_CLOTHES
FRAMES 8
27 300 0 0
28 6 0 0
27 300 0 0
28 6 0 0
27 300 0 0
28 6 0 0
27 6 0 0
28 6 0 0
NAME WALK_CLOTHES
FRAMES 20
29 7 0 0
30 7 0 0
31 7 0 0
32 7 0 0
29 7 0 0
30 7 0 0
31 7 0 0
32 7 0 0
29 7 0 0
30 7 0 0
31 7 0 0
32 7 0 0
29 7 0 0
30 7 0 0
31 7 0 0
32 7 0 0
29 7 0 0
30 7 0 0
33 7 0 0
32 7 0 0
