MAP_NAME MAP13
REMOVE_ENTITY null 30675 6820
ADD_ENTITY
{
TYPE ENEMY
NAME boss/awesome_boss_1
X 30101
Y 6822
START_X 30101
START_Y 6822
END_X 30101
END_Y 6822
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 500
DAMAGE 1
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME AWESOME_1
REQUIRES AWESOME_2
ACTIVE FALSE
FACE RIGHT
}

{
TYPE SCRIPT_LINE_DEF
NAME common/line_def
X 30528
Y 6464
START_X 30528
START_Y 6464
END_X 30528
END_Y 6880
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 30
THINKTIME 30
MENTAL 0
HEALTH 1
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME awesome_boss_start
REQUIRES AWESOME_BOSS_TRIGGER
ACTIVE FALSE
FACE LEFT
}

{
TYPE WEAK_WALL
NAME wall/invisible_wall
X 29984
Y 6880
START_X 29984
START_Y 6880
END_X 29984
END_Y 6880
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 40
DAMAGE 0
SPAWNTIME 0
SPEED 3.00
WEIGHT 1.00
OBJECTIVE_NAME AWESOME_BOSS_WALL_1
REQUIRES nothing
ACTIVE TRUE
FACE LEFT
}

{
TYPE WEAK_WALL
NAME wall/invisible_wall
X 29984
Y 6944
START_X 29984
START_Y 6944
END_X 29984
END_Y 6944
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 40
DAMAGE 0
SPAWNTIME 0
SPEED 3.00
WEIGHT 1.00
OBJECTIVE_NAME AWESOME_BOSS_WALL_2
REQUIRES nothing
ACTIVE TRUE
FACE LEFT
}

{
TYPE WEAK_WALL
NAME wall/invisible_wall
X 30656
Y 6880
START_X 30656
START_Y 6880
END_X 30656
END_Y 6880
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 40
DAMAGE 0
SPAWNTIME 0
SPEED 3.00
WEIGHT 1.00
OBJECTIVE_NAME AWESOME_BOSS_WALL_3
REQUIRES nothing
ACTIVE TRUE
FACE LEFT
}

{
TYPE WEAK_WALL
NAME wall/invisible_wall
X 30656
Y 6944
START_X 30656
START_Y 6944
END_X 30656
END_Y 6944
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 40
DAMAGE 0
SPAWNTIME 0
SPEED 3.00
WEIGHT 1.00
OBJECTIVE_NAME AWESOME_BOSS_WALL_4
REQUIRES nothing
ACTIVE TRUE
FACE LEFT
}

{
TYPE WEAK_WALL
NAME wall/invisible_wall
X 30656
Y 7008
START_X 30656
