NAME NORMAL_STAND
FRAMES 2
0 120 0 0
1 8 0 0
NAME NORMAL_WALK
FRAMES 8
2 2 0 0
3 2 0 0
4 2 0 0
5 2 0 0
6 2 0 0
7 2 0 0
8 2 0 0
9 2 0 0
NAME NORMAL_WALK_UP
FRAMES 8
10 2 0 0
11 2 0 0
12 2 0 0
13 2 0 0
14 2 0 0
15 2 0 0
16 2 0 0
17 2 0 0
NAME FIRE_STAND
FRAMES 2
18 120 0 0
19 8 0 0
NAME FIRE_WALK
FRAMES 8
20 2 89 71
21 2 89 71
22 2 89 71
23 2 89 71
24 2 89 71
25 2 89 71
26 2 89 71
27 2 89 71
NAME FIRE_WALK_UP
FRAMES 8
28 2 0 0
29 2 0 0
30 2 0 0
31 2 0 0
32 2 0 0
33 2 0 0
34 2 0 0
35 2 0 0
NAME FIRE_ATTACK
FRAMES 1
37 30000 76 21
NAME FIRE_ATTACK_DOWN
FRAMES 1
38 30000 89 71
NAME FIRE_ATTACK_UP
FRAMES 1
39 30000 89 41
NAME STUNNED
FRAMES 1
40 30000 89 -7
NAME ICE_STAND
FRAMES 2
41 120 0 0
42 8 0 0
NAME ICE_WALK
FRAMES 8
43 2 89 71
44 2 89 71
45 2 89 71
46 2 89 71
47 2 89 71
48 2 89 71
49 2 89 71
50 2 89 71
NAME ICE_WALK_UP
FRAMES 8
51 2 0 0
52 2 0 0
53 2 0 0
54 2 0 0
55 2 0 0
56 2 0 0
57 2 0 0
58 2 0 0
NAME ICE_ATTACK
FRAMES 1
59 30000 76 21
NAME ICE_ATTACK_DOWN
FRAMES 1
60 30000 89 71
NAME ICE_ATTACK_UP
FRAMES 1
61 30000 89 41
NAME STUN_WAKE
FRAMES 1
62 30000 89 -7
NAME STAND
FRAMES 2
63 120 0 0
64 8 0 0
NAME WALK
FRAMES 16
65 4 0 0
66 4 0 0
67 4 0 0
68 4 0 0
69 4 0 0
70 4 0 0
71 4 0 0
72 4 0 0
65 4 0 0
66 4 0 0
67 4 0 0
68 4 0 0
69 4 0 0
70 4 0 0
71 4 0 0
73 4 0 0
NAME GROUND_ATTACK
FRAMES 1
74 30000 0 0
NAME UPSIDE_DOWN
FRAMES 1
75 30000 0 0
NAME NORMAL_ATTACK_DOWN_WALK
FRAMES 8
76 4 0 0
77 4 0 0
78 4 0 0
79 4 0 0
80 4 0 0
81 4 0 0
82 4 0 0
83 4 0 0
NAME NORMAL_ATTACK
FRAMES 1
36 30000 76 21
NAME NORMAL_ATTACK_DOWN
FRAMES 1
84 30000 76 21
